Dnd Fiitness Gym,-8800685907,4.9,45,"Ko 03/04 Placio Road, Sector 126, Noida - 201303, Gate No 2A Amity Universty"
,,,,
Fitness Box,7947452999,4.3,219,"3rd Floor, Sab Mall, Noida Sector 27, Noida - 201301"
,,,,
Body By Inches,7947453826,3.5,2,"First Floor, Chail Singh Rana Complex, Noida Sector 22, Noida - 201301, Near Shiv Mandir Road"
,,,,
Hype The Gym,-9810067368,4.5,29,"Amarpali Crystal Shopping Arcade,Basement, Noida Sector 76, Noida - 201304, Near Jm Orchid Society"
,,,,
Slim Trim Point,-9837009292,4.8,50,"O Tower, Flat No - 1207, Amrapali Zodiac, Noida Sector 120, Noida - 201304, Near Sector - 70"
,,,,
N.H.C Nutrition & Supplemen..,-9999947208,4.9,4,"Street No-1,Noida Health Club Gym, Near Kartik Kunj Appartment, Noida Sector 44, Noida - 201303, Opposite Old Shiv Mandir"
,,,,
Fighting Choice,7947239091,5,9,"3 Rd Floor , Sharma Market, Near Sect 34 Metro Station  On Red Light, Noida Sector 51, Noida - 201307"
,,,,
Shape N Soul Fitness & Danc..,7947229217,5,2,"Cv7 105, Supertech  Capetown, Cv 105, Noida Sector 74, Noida - 201304"
,,,,
Fitness Avenue,7947059955,4.1,95,"House No-177,Basement Block D, Sec 27, Noida, Noida - 201301, Opposite Indo Golf Dignogist,D Block,Sector 27"
,,,,
Fitness Mandi Gym,7947060717,4.2,155,"M-7 2nd Floor, CMC Complex, Main Dadri Road, Noida Sector 49, Noida - 201304, Above Union Bank"
,,,,
Fitness Mandi Gym,7947060717,4.2,155,"M-7 2nd Floor, CMC Complex, Main Dadri Road, Noida Sector 49, Noida - 201304, Above Union Bank"
,,,,
The Crypt,-9711070464,4.3,14,"Sadana Tower, Sector-66, Noida Sector 62, Noida - 201309, Near R K Public School"
,,,,
Fitness 52,-4154231,3.8,16,"B-27, Shatabdi Vihar Road, Noida Sector 52, Noida - 201301, Near Community Centre"
,,,,
K One Fitness,-4218850,4.6,14,"Kasana Tower Third Floor, Alpha Commercial Belt, Alpha 1-Greater Noida, Noida - 201310, Near Dr Batra"
,,,,
Xtreme Fitness Gym,7947063740,4.4,168,"First Floor, 10th Avenue  Gaur City 2, Greater Noida, Noida - 201310, Near By Gagan Public School, Gaur City 2, Noida Extension"
,,,,
Wolfpack Fitness,7947230056,4.8,31,"7th Floor, Sunrise Tower, Commercial Belt, Alpha 1-greater Noida, Noida - 201310, Near By Vijay Sales"
,,,,
Haada Club,7947467067,4.3,30,"Haadaclub, Manjhawali Road, Tigaon, Faridabad - 121101, Punjab National Bank"
,,,,
Antham Gym,-9312207744,5,1,"Shop No - 26-31 AR Plaza Rampur Jagir, Rampur Jagir Road, Rampur Jagir, Noida - 201310, Near Metro Money"
,,,,
Fitbee Fitness,7947224768,4.9,224,"8th Floor, Tradex Tower 2, Alpha 1-Greater Noida, Noida - 201310, Commercial Belt"
,,,,
Oxygen Pro Gym,7947078949,3.5,2,"C 512,, 40 Foot Road, Chawla Colony Ballabgarh, Faridabad - 121004, Near Hanuman Mandir"
,,,,
Fitstop Gym,-4140538,4.1,94,"SCO-146,1st Floor, HUDA MARKET, Faridabad Sector 21C, Faridabad - 121007, Near Dominos"
,,,,
Ch Mawasi Fitness Club,-9711191067,4.6,135,"A1, Mawasi Palace Mawasi Colony, Sarita Vihar, Delhi - 110076, Near GD Goingka School"
,,,,
Wow Gym Workout World,-9821421566,4.3,205,"A-245,Upper Ground Floor, Shaheen Bagh-jamia Nagar, Delhi - 110025, Near Honda Showroom, Thoker Number 6"
,,,,
Fitness Hub,-9891915796,4.3,3,"A21/22, 2nd Floor, Ghaziabad HO, Ghaziabad - 201001, Near New Panchwati, Bhatia More"
,,,,
Field Of Fitness,7947266823,4.8,83,"B-28/6 Basement Tower A&B, Thokar No-8, Shaheen Bagh-jamia Nagar, Delhi - 110025, Near Firdous Masjid"
,,,,
Negis The School Of Martial..,-8860222521,4.9,75,"Plot No.585, Niti Khand 1, Indirapuram, Ghaziabad - 201014, Opp. Swarn Jayanti Park"
,,,,
Ms Fitness Club,-9266550353,4.9,121,"House No. 219 B - 331, Abdul Fazal Enclave Nai Basti Gali No. 2, Jamia Nagar, Delhi - 110025, Near By Jamia Nagar Thana"
,,,,
The Prime  Fitness Hub,-8920360033,4.3,5,"RB Complex, NH-24, Dasna, Ghaziabad - 201009, Near Pani Ki Tanki"
,,,,
